trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-144.19639957993698,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,19,5.02306498410596,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-134.4248610610875,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-143.15984183912525,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-66.8506050365481,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-81.88449949470103,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-127.6485856876791,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-263.2605257543361,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-145.3285395557162,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-82.7713258928483,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,15,8.582152403697483,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-42.89219314454075,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.48610154891749,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-38.49054089809667,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-36.86979614897983,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,-1.0504701704488557,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-96.92349463115602,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-49.201176828426114,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,4.459001107986599,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-16.333826606223646,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-68.20909620957495,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,17.06434905355006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-37.23518793211312,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,28.46280155481154,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-3.7554110387378303,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-54.35290169907818,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,4.370642521378181,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-13.64832776029684,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,8,-22.147129002904478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-6.773364205552511,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
