trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-162.77716873604228,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9980019986673331}",20,0,-94.44517875070217,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.9960079893439915}",20,0,-103.67260301962533,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.9940179640539353}",20,7,-13.03480606190943,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.75, 'e': 0.9920319148370607}",20,0,-91.85863412134528,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.9900498337491681}",30,12,-92.35016168933527,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.75, 'e': 0.9880717128619305}",25,0,-80.63542043409113,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.9860975442628619}",35,0,-196.1066612867661,"{0: 20, 1: 2, 2: 10, 3: 1, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.9841273200552851}",25,0,-154.4286153980554,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
10,False,"{'a': 0.75, 'e': 0.9821610323583008}",20,0,-66.94334938440377,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.9801986733067553}",25,7,0.4547810243921805,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
