/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', None, None, None)
 -- None : -4.06
 -- forward : 0.79
 -- right : 0.21
 -- left : 2.50

('left', 'red', None, 'left', 'right')
 -- None : 0.00
 -- forward : -6.84
 -- right : 0.00
 -- left : 0.00

('left', 'red', 'right', None, None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.47
 -- left : 0.00

('left', 'green', None, None, 'forward')
 -- None : 0.00
 -- forward : -0.28
 -- right : 0.00
 -- left : 1.32

('forward', 'green', None, 'forward', 'left')
 -- None : 0.00
 -- forward : 0.94
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'forward', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : -14.99
 -- left : 0.00

('left', 'red', 'left', 'forward', None)
 -- None : 0.00
 -- forward : -30.08
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'left', 'left')
 -- None : 1.62
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'left', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -30.09

('right', 'red', None, 'forward', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -30.56

('right', 'red', 'right', None, None)
 -- None : 0.96
 -- forward : -7.83
 -- right : 0.00
 -- left : -29.30

('left', 'red', None, None, None)
 -- None : 1.58
 -- forward : -7.88
 -- right : 0.27
 -- left : -10.62

('right', 'green', 'forward', None, None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.36
 -- left : -18.99

('forward', 'green', None, 'right', 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 1.05

('right', 'red', 'left', None, None)
 -- None : 1.76
 -- forward : -7.97
 -- right : 0.00
 -- left : 0.00

('left', 'green', 'right', 'right', 'right')
 -- None : 0.00
 -- forward : -0.15
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'forward', None)
 -- None : 0.00
 -- forward : 1.39
 -- right : 0.35
 -- left : 0.00

('right', 'green', 'forward', 'left', 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 2.00
 -- left : 0.00

('left', 'green', None, 'forward', 'forward')
 -- None : -4.00
 -- forward : 0.00
 -- right : 0.99
 -- left : 0.00

('left', 'green', None, None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.05
 -- left : 1.40

('forward', 'green', 'left', 'forward', None)
 -- None : 0.85
 -- forward : 0.00
 -- right : 0.01
 -- left : 0.00

('left', 'red', 'forward', 'right', None)
 -- None : 1.65
 -- forward : -7.01
 -- right : 0.00
 -- left : -7.04

('forward', 'red', 'forward', None, 'right')
 -- None : 0.62
 -- forward : -7.98
 -- right : 0.00
 -- left : 0.00

('left', 'green', None, 'forward', 'right')
 -- None : 0.00
 -- forward : 1.07
 -- right : 0.00
 -- left : 0.00

('forward', 'red', 'right', None, None)
 -- None : 1.75
 -- forward : -8.11
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', None, None)
 -- None : 0.00
 -- forward : 1.29
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.80
 -- left : 0.00

('right', 'green', None, None, None)
 -- None : -4.04
 -- forward : -0.03
 -- right : 2.43
 -- left : 0.00

('forward', 'green', None, None, 'right')
 -- None : -3.00
 -- forward : 0.00
 -- right : 1.34
 -- left : 0.00

('right', 'red', None, None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.54
 -- left : -8.14

('left', 'green', 'right', 'forward', 'right')
 -- None : -4.44
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, 'left', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.29
 -- left : 0.00

('forward', 'green', None, 'forward', 'forward')
 -- None : 0.00
 -- forward : 1.10
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -14.67

('right', 'green', 'forward', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.44
 -- left : 0.00

('right', 'red', 'left', 'left', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -7.19

('forward', 'red', 'left', None, None)
 -- None : 1.37
 -- forward : 0.00
 -- right : 1.37
 -- left : -8.18

('right', 'green', 'left', None, None)
 -- None : 0.21
 -- forward : 0.75
 -- right : 0.00
 -- left : 1.29

('forward', 'red', 'right', 'forward', 'forward')
 -- None : 0.00
 -- forward : -29.37
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, None, 'forward')
 -- None : 2.23
 -- forward : -30.00
 -- right : 0.00
 -- left : -30.16

('right', 'red', 'left', None, 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : -15.37
 -- left : 0.00

('right', 'green', None, 'forward', 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.49

('left', 'green', 'left', 'right', 'forward')
 -- None : 0.00
 -- forward : 0.62
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'forward', 'forward', None)
 -- None : -4.23
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.20
 -- left : 0.00

('forward', 'green', None, 'left', 'left')
 -- None : 0.00
 -- forward : 1.87
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, 'forward', 'left')
 -- None : -3.84
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', None, None, None)
 -- None : -5.20
 -- forward : 1.86
 -- right : 1.49
 -- left : 0.42

