trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-39.697090645131816,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.02530639939146,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.58823254412032,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.891673785395952,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-47.156040606151855,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-11.670772270494139,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.198941438363306,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.864069392911523,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.31584555760135,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-60.98341202332222,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-25.692524281531046,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.72793500298828,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-0.9366938601401813,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.053882449103014,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.00312527486456,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.152908948384365,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.1400213421464,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.741408609196355,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.22526108716186,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-48.58772913659723,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-26.909784001758375,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-3.456121964610454,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-37.87018935787513,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.94525484660063,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-12.913056954706507,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.42661384357159,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.21928119685558,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.611493714155344,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.09100182490447,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.677544597958464,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
